CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,REGS_CON_MISMO_CODIGO,TELEFONO_ORIG,TELEFONO_DIG,TELEFONO_8DIG,TELEFONOS_VALIDOS
16-01-0138-46,16-031,Alta Verapaz,Coban,Colegio Coban,Km.2 Salida A San Juan Chamelco Zona 8,77945104,Patricio Najarro Asencio,Gustavo Adolfo Sierra Pop,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77945104,77945104,77945104,77945104
16-01-0139-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Verapaz,Km 209.5 Entrada A La Ciudad,77367402,Patricio Najarro Asencio,Gilma Dolores Guay Paz De Leal,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77367402,77367402,77367402,77367402
16-01-0140-46,16-031,Alta Verapaz,Coban,"Colegio ""La Inmaculada""",7A. Avenida 11-109 Zona 6,78232301,Patricio Najarro Asencio,Virginia Solano Serrano,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,78232301,78232301,78232301,78232301
16-01-0141-46,16-005,Alta Verapaz,Coban,Escuela Nacional De Ciencias Comerciales,2A Calle 11-10 Zona 2,79514215,Nora Liliana Figueroa Hernández,Héctor Rolando Chun Poou,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79514215,79514215,79514215,79514215
16-01-0142-46,16-005,Alta Verapaz,Coban,Instituto Normal Mixto Del Norte 'Emilio Rosales Ponce',3A Ave 6-23 Zona 11,79521468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79521468,79521468,79521468,79521468
16-01-0143-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,5A. Calle 1-9 Zona 3,57101061,Patricio Najarro Asencio,Mynor Gustavo Ipiña España,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,57101061,57101061,57101061,57101061
16-01-0155-46,16-031,Alta Verapaz,Coban,"Liceo ""Moderno Latino""",11 Avenida 5-17 Zona 4,79522555,Patricio Najarro Asencio,Héctor Armando Teyul Chen,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79522555,79522555,79522555,79522555
16-01-0428-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,"Diagonal 08 8-05 Zona 8, Barrio Cantón Las Casas",77930045,Nora Liliana Figueroa Hernández,Helson Marco Chén Gutierrez,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77930045,77930045,77930045,77930045
16-01-0471-46,16-031,Alta Verapaz,Coban,"Colegio De Informatica ""Ceninfav""",12 Av. 2-12 Zona 1,79545566,Patricio Najarro Asencio,Maria Magdalena Bol Cu,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79545566,79545566,79545566,79545566
16-01-0481-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Calle 2-23 Zona 4,79514754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79514754,79514754,79514754,79514754
