CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,TELEFONO,_digits,_norm,CAUSA
16-03-0036-46,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,58609056
16-06-2398-46,ALTA VERAPAZ,SAN MIGUEL TUCURU,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,58037229
16-09-0007-46,ALTA VERAPAZ,SAN PEDRO CARCHA,CENTRO EDUCATIVO NUEVA VIDA,57291622
16-09-9259-46,ALTA VERAPAZ,SAN PEDRO CARCHA,COLEGIO STHELLA DE HERNANDEZ,79516876
16-14-0054-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
16-15-0002-46,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,COLEGIO PARTICULAR MIXTO EL EXITO,79520351
04-01-0128-46,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,78392827
20-01-0041-46,CHIQUIMULA,CHIQUIMULA,INSTITUTO MODERNO CHIQUIMULTECO,,,,Vacío
20-01-0184-46,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,,,,Vacío
20-05-0087-46,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
20-05-0088-46,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
20-06-1787-46,CHIQUIMULA,OLOPA,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA LIC. MARIO ROLANDO TORRES MARROQUIN,,,,Vacío
20-07-2365-46,CHIQUIMULA,ESQUIPULAS,COLEGIO PRIVADO MIXTO RENACIMIENTO,79432012
20-10-0013-46,CHIQUIMULA,SAN JACINTO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
02-05-0018-46,EL PROGRESO,EL JICARO,INSTITUTO NACIONAL TECNOLÓGICO DE EDUCACIÓN DIVERSIFICADA DE EL JÍCARO,33362442
02-08-0535-46,EL PROGRESO,SAN ANTONIO LA PAZ,INSTITUTO DIVERSIFICADO POR COOPERATIVA,,,,Vacío
05-01-0131-46,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO MIGUEL ANGEL ASTURIAS,59898589
05-10-2844-46,ESCUINTLA,IZTAPA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA MISAEL AVILA ESCOBAR,43568212
16-03-0036-46,ALTA VERAPAZ,SAN CRISTOBAL VERAPAZ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,53318658
16-06-2398-46,ALTA VERAPAZ,SAN MIGUEL TUCURU,INSTITUTO PRIVADO MIXTO DE MAGISTERIO BILINGUE TUKUR,58037229
16-09-0007-46,ALTA VERAPAZ,SAN PEDRO CARCHA,CENTRO EDUCATIVO NUEVA VIDA,57291622
16-09-9259-46,ALTA VERAPAZ,SAN PEDRO CARCHA,COLEGIO STHELLA DE HERNANDEZ,79516876
16-14-0054-46,ALTA VERAPAZ,CHAHAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
16-15-0002-46,ALTA VERAPAZ,FRAY BARTOLOME DE LAS CASAS,COLEGIO PARTICULAR MIXTO EL EXITO,79520351
04-01-0128-46,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,78392827
20-01-0041-46,CHIQUIMULA,CHIQUIMULA,INSTITUTO MODERNO CHIQUIMULTECO,,,,Vacío
20-01-0184-46,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SABIDURIA,,,,Vacío
20-05-0087-46,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
20-05-0088-46,CHIQUIMULA,CAMOTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
20-06-1787-46,CHIQUIMULA,OLOPA,INSTITUTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA LIC. MARIO ROLANDO TORRES MARROQUIN,,,,Vacío
20-07-2365-46,CHIQUIMULA,ESQUIPULAS,COLEGIO PRIVADO MIXTO RENACIMIENTO,79432012
20-10-0013-46,CHIQUIMULA,SAN JACINTO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,,,,Vacío
02-05-0018-46,EL PROGRESO,EL JICARO,INSTITUTO NACIONAL TECNOLÓGICO DE EDUCACIÓN DIVERSIFICADA DE EL JÍCARO,33362442
02-07-0008-46,EL PROGRESO,SANARATE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,20252026
02-08-0535-46,EL PROGRESO,SAN ANTONIO LA PAZ,INSTITUTO DIVERSIFICADO POR COOPERATIVA,,,,Vacío
05-01-0131-46,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO MIGUEL ANGEL ASTURIAS,59898589
05-10-2844-46,ESCUINTLA,IZTAPA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA MISAEL AVILA ESCOBAR,43568212
01-06-0075-46,GUATEMALA,CHINAUTLA,INSTITUTO NACIONAL MARIA FERNANDA MEDRANO CORDON,24837931
